회사명,면접질문,면접답변 혹은 면접느낌,subjects
SK텔레콤,"['장애인을 위한 교통 앱을 만들었기 때문에 그와 관련된 구체적인 방향성에 대해 많은 질문을 하셨습니', '다.']","편안한 분위기에서 면접이 이루어졌고 모두들 제 말에 귀 기울여주시고, 관심가져주셨습니다. ""면접은 편안한 분위기에서 이루어졌습니다 공모전을 통한 면접이었기 때문에 아이디어 기획서와 PT 발표를 통해 채용이 이루 어졌습니다."" 합격 긍정적 도움이 돼요 0",{}
SK텔레콤,"['이직 사유.', '현재 맡고 있는 프로젝트.', '앞으로의 포부.', '개인의 역량.']",면접 분위기는 평이하였으며 좋은 인상을 받았습니다.,{}
SK텔레콤,['회사에서 개발해야 하는 것들에 대한 아웃소싱에 대해 어떻게 생각하는가?'],"아웃소싱은 전략적으로 내부에서 갖추어야 하는 것은 하지 말아야 하고 내재화를 해야 하고, 핵심 서비 스가 아닌 부분에 대해서는 효율적인 아웃소싱을 도입하는 것이 맞다고 본다. ""공채로 지원하여 면접은 총 3차례에 걸쳐 진행되었음. 집단 면접은 동시에 질문이 주어지고 각자의 의견을 제시하는 방식이었고, 2번째 임원 면접은 전반적인 태도에 대한 부분, 그리고 3차 면접은 기술 면접을 통해 최종 1인을 선발하는 면접이었음"" 합격 긍정적 도움이 돼요 1",{}
SK텔레콤,['현재 하고 있는 프로젝트에 대한 설명'],"시스템 개괄적인 소개 및 기술, 내가 주로 개발한 분야 소개 채용방식 개인면접",{}
SK텔레콤,"['내용은 대부분 이전 회사에서 했었던 업무에 대한 질문이었고, 대체로 평이했으며', '구체적,전문적, 실무적 수준의 질문을 할 수 있는 면접관은 없었습니다. 본인의 경력', '과 경험기술에 대해 실무자들은 대단히 만족하는듯 보였으나 임원면접에서 해당 회', '사에 대한 강한 로열티를 드러내지 않았던 것이 불합격 원인으로 생각됩니다.""', '불합격', '보통', '도움이 돼요 3']",생략 채용방식 개인면접,{}
SK텔레콤,['5G와 관련하여 아는 사항에 대해 말해보시오. 로라와 NBiot의 기술적 차이점에 대해 말해보시오.'],"로라는 nbiot에 비해 모듈 단가가 낮다. 덕분에 상용화를 함에 있어서 훨씬 진입장벽이 낮은 편이다. 기 존 시장 점유율이 높기 때문에 로라의 확장성을 활용하여 보다 빨리 시장 선점이 가능하다. 채용방식 케이스 면접, PT면접, 그룹면접",{}
SK텔레콤,"['기존직장해서 진행했던 업무내용. 입사할 부서에서 어떤일을 하고 있는지 알고 있는지.왜 이직하고자', '하는지']","대학전공과 관련하여 기존 직장에서 경력쌓은것. 기존의 반복적이고 단순일 보다 보다 창의적이고 자 기주도적인 업무를 하고자 이직함 ""경력채용의경우 실무면접, 임원면접순으로 진행. 두단계 통과하면 채용"" 합격 보통 도움이 돼요 0",{}
SK텔레콤,"['기술과 관련된 질문 이 주를 이뤘고, 갈등발생시 해결방안', '유관부서 협업']","기술관련 답변은 공개하기 어렵고, 유관부서간 협업을 잘하기 위해서는 자신을 낮추는 방법을쓴다고 함 ""직무발표 질의응답 진행하였어요 프로젝트 진행시 갈등 극복방안등"" 합격 보통 도움이 돼요 0",{}
SK텔레콤,"['엄청 압박면접이 심했습니다. 중학교때 농구대회 우승을 했었는데 팀은 몇명이엿냐 총 몇번해서 우승', '을했냐 식으로 꼬리물기가 계속 이어졌습니다.']","잘 우승했고, 몇번해서 우승했다. 채용방식 PT면접, 그룹면접",{}
SK텔레콤,"['과제도 있었고, 기술면접을 진행 했습니다.']",기술답변 채용방식 개인면접,{}
SK텔레콤,"['전 직장에서 맡았던 일은? , 퇴사이유?', '채용방식', '개인면접', '발표시기', '7일 후', '""면접분위기는 굉장히 딱딱했고 면접은 꼼꼼히 준비하더라도 생각지 못한 질문이', '나올수있습니다.""', '불합격', '보통', '도움이 돼요 0']",,{}
SK텔레콤,"['에스케이로의 이직 사유는 무엇인가요?', '구체적으로 대답해주세요']",많은 사람이 사용하는 서비스 개발을 하고 싶다 채용방식 PT면접,{}
SK텔레콤,['간단한 자기 소개 후 이전 프로젝트에 대해 질문'],자기 소개는 간단히 답변하고 프로젝트에 대해서는 대략적인 내용만 소개 조금더 자세한 설명을 원하는 듯 했음. 채용방식 개인면접,{}
SK텔레콤,"['기술PT면접, HR면접, 팀장면접의 세가지 면접과', '3가지 다른 방식의 토론면접. 원데이 면접이지만 하루에 총 6개의 면접을 보는셈.']","6가지 유형의 면접(?)이 있지만 역시나 가장 중요한 면접은 팀장면접. 약 50분간 진행되며 자기소개서 와 지원한 직무에 대하여 많은 질문과 답을 하게 됨. ""지원자에게 매우 많은것을 바라고 요구하고 검증하길 원함."" 합격 부정적 도움이 돼요 2",{}
SK텔레콤,"['해당 포지션에 대한 경험, 자신이 가장 자신있는 부분(개발에 있어서) 등을 물어봄']",해당 포지션에 대한 경험은 직접적으로 없고 현재 직장에서도 프로젝트를 경험한 적은 없지만 기술이 나 이론등은 잘 안다고 답변함. 채용방식 개인면접,{}
SK텔레콤,['조직활동을 하면서 갈등이 있었는지 있다면 어떻게 해결했는지'],"경험을 예를들어서 대화로 해결한다고 답변함 채용방식 인/적성검사, PT면접, 그룹면접, 토론면접, 개인면접 ""정말 소중한 경험이였습니다 직원분들 마인드가 정말 좋아요 밥은 ...맛없습니다"" K텔레콤(주) 사의 빠른 소식을 받아보세요! 2 코이즈(주) 8 기업 랭킹 채용 뉴스 연봉 이직 뽐뿌 오는 날 5분 완성, 1년 간 기업정보가 무료!    제휴 대학 서비스  회사소개 이용약관 개인정보처리방침 커뮤니티가이드라인 모바일 버전 공지사항 광고 및 제휴문의 고객 문의 FAQ | | | | | | | | (주)브레인커머스 서울특별시 강남구 테헤란로 509 엔씨타워 I, 10층 | 대표   황희승, 윤신근 | 개인정보보호관리자   윤신근 사업자등록번호   120-87-92182 | 통신판매업 신고번호   제2014-서울강남-02942호 | 유료 직업소개사업 등록번호   (국내) 제2017-3220163-14-5-00046호 대표번호   1644-5641 (10:00~17:00 / 매월 마지막 금요일 09:00~13:00 / 주말 및 공휴일 휴무) | 대표이메일 : customer_service@jobplanet.co.kr ©Jobplanet. All rights reserved. 16 17 18 19 20 면접결과 면접경험 신고하기",{}
SK텔레콤,['실무면접의 경우 이전회사에서 한 경력을 중심으로 진행되고 거기서 질문들이 파생된다.'],이전 회사에서 구현했던 프로젝트에 대한 설명과 그에 대한 매출 기여 채용방식 개인면접,{}
SK텔레콤,['전공지식 살면서 경험 여려가지 난해하고도 힘든것들을 질문받음.'],"그냥 답변 못함. 채용방식 필기시험, 케이스 면접, 워크숍",{}
SK텔레콤,['최근 5년간 했던 프로젝트는? 그리고 설명해주세요'],네트워크관련 프로젝트 설명했음,{}
SK텔레콤,['인생에서 혁신을 이루기 위해 햇던경험에 대해 말해보세요'],"무전여행이라답변햇습니다 하지만 이에대해 자세히말해보라셨습니다 채용방식 필기시험, 인/적성검사, 그룹면접, 토론면접, 개인면접",{}
SK텔레콤,['지금까지 살아오면서 조직활동을 통해 어려움을 겪은 경험에 대해 말하라.'],"제대로 답변을 못했습니다. 준비를 안해서요! 채용방식 인/적성검사, 그룹면접, 토론면접, 개인면접",{}
SK텔레콤,"['전공 관련 시험 (90분)', '팀별 협상 진행 (그룹 토론)', '보고서 작성', '기획서 작성', '개인 면접']","프로젝트 경험 설명 (역할과 기간 무슨 프로젝트인지) 기본적인 전공 관련 용어 채용방식 필기시험, 인/적성검사, 스킬테스트, 그룹면접, 토론면접, 개인면접",{}
SK텔레콤,['업무용어에대한 구체적 설명을 원하시는 질문이 많았고 압박질문이 많았음'],아는것에 대해 대답함 채용방식 개인면접,{}
SK텔레콤,"['자기소개를 사물에 비유하여 해보라는 식의 창의성을 물어보는질문', '채용방식', '필기시험, 인/적성검사, 그룹면접, 기타', '발표시기', '7일 후', '""그냥 많이어려웠던것같고 1박2일동안 긴장됬지만 여러가지 면접햇기때문에 어느', '정도보여줄건 다보여주었다""', '합격', '보통', '도움이 돼요 1']",,{}
SK텔레콤,['조별주제 과에서 한일 책임감을 물어보셨습니다.'],"상당히 대답을 잘했습니다. 채용방식 인/적성검사, 그룹면접, 영어면접, 산행, 체육대회",{}
SK텔레콤,['진행한 프로젝터는? SW 개발 능력은?'],"1. 제가 진행한 프로젝터에 대해서 자세히 서술하였습니다. 경력 면접이어서 그런지, 기술에 대한 세세한 부분까지 이해하고 질문 하시는 경우가 많았습니다. 2. SW 개발 능력은 수학적 이론부터 사용한 언어 및 환경, 혹은 네트워크나 3D 모델링과 같은 내용도 질문하였습니다. 솔직히 제가 하지 못하는 분야의 것은 제외하고 경험 해본 것과 자신있는 내용에 대해 언급하였습니다. 채용방식 그룹 프로젝트, PT면접, 기타",{}
SK텔레콤,['이제까지 오면서 성취하기 가장 어려웠던 일. 왜 어려웠는지. 자신의 구체적인 역할이 무엇이었는지.'],"대학시절 프로젝트했던것 얘기함. 채용방식 인/적성검사, PT면접, 개인면접",{}
SK텔레콤,"['자기소개', '가장 행복했던 경험', '학업 이외의 활동', '마지막 한마디']","아르바이트로 첫 월급을 타던 날 채용방식 PT면접, 그룹면접, 토론면접, 개인면접",{}
SK텔레콤,['에스케이텔레콤의 미래 성장 전략에 대해 그룹 토론을 통해 답변을 도출하라.'],"그룹 토론을 거쳐 답변 도출 ""1차 면접: 다양한 형식으로 진행되는 합숙 면접 2차 면접 : 임원 면접 채용 결정"" 대기중 긍정적 도움이 돼요 0",{}
SK텔레콤,['자신이 노력한 부분 혹은 SK텔레콤의 기술'],"제가 졸업을 하며 했던 프로젝트와 그 외의 다양한 활동들에 대해서 답하였습니다. 대부분 면접관님들 이 온화하였고, 분위기가 좋았습니다. 압박면접은 전혀 없었고, 편안한 분위기 속에서 면접을 진행할 수 있었습니다. ""1박 2일 면접, 다수의 토론 면접과 인성 면접"" 불합격 긍정적 도움이 돼요 1",{}
SK텔레콤,"['대체로 자소서 중심으로 지원동기, 비전, 장/단점 등 무난한 질문 위주임. 면접관에 따라 창의적인 질문', '하는 경우 있으나, 비상식적 질문은 하지 않음.']","대부분 자소서 기재된대로 대답했고, 다른 기업에 중복합격시 어떻게 하겠냐는 질문에 당연히 여기를 선택하겠다고 대답했음. 채용방식 필기시험, 인/적성검사, 그룹면접, 영어면접, 토론면접, 개인면접",{}
SK텔레콤,['현재 직장이서 에스케이텔레콤으로 이직하는 이유는 무엇인지 이야기해보세요'],"더 많은 것을 배우고 에스케이텔레콤이기 때문에 이직하기로 결심함 채용방식 인/적성검사, PT면접, 개인면접, 기타 ""여러번의 면접 유형 절차와 거기에 따른 자료준비로 현재까지 일했던 나를 돌아보 는 계기가 되었으나... 여러번의 면접 결과를 치루고 기다림에 있어서 심장이 쫄깃 쩔깃 해진다."" 대기중 긍정적 도움이 돼요 0",{}
SK텔레콤,"['코드 에 대한 설명 요청 받음', 'Agile 개발 경험 요청']","설계 단계 부터, 코드 작성까지 단계를 설명함. 사용한 디자인 패턴/알고리즘 설명 채용방식 논술 시험, PT면접, 기타",{}
SK텔레콤,"['이전 직장에서의 업무 수준이 그다지 높아 보이지 않는데, 구체적으로 어떤 업무를 해왔는가?']","담당 솔루션의 매출 증대를 위해 특정 업종 및 지역 별 타겟 프로모션을 기획하여 온라인 마케팅 -> 오 프라인 세미나 -> 타겟 프로모션 -> 불법 근절 캠페인을 벌여 신규 고객을 많이 발굴 하였다고 답하였으 나 해당 업무에 대한 가치를 낮게 평가 받음(실제 업계에서도 이 분야의 업무 가치를 그렇게 높게 인정 해 주지는 않고 있음) 채용방식 인/적성검사, 개인면접",{}
SK텔레콤,['학창시절 말고 최근에 도전한 경험이 있나요?'],"학창시절 활동 외 도전경험이 없기 만련입니다. 그래서 야구를 배우기 시작한 것을 말씀드렸고, '그건 취미 아닌가요?' 라는 답변을 들었습니다. 아마 새 로우 배우기 시작한 분야나 도전 있는지 물어보시는것 같았습니다. 채용방식 인/적성검사, 그룹면접, 개인면접",{}
SK텔레콤,"['지원이유와 역령이 본 화사에 기여할수 있는 부분이 무엇인가', '입사해서 무엇을 하고 싶은가 마지막 하고 싶은 말은']","Ict 기술력을 통해 다양한 산업의 연계와 사회가치를 창출 할 수 있을 것입니다 저는 입사하게 된다면 산업의 경계를 허무는 솔루션을 기획하는 것이 목표입니다 채용방식 개인면접 ""바이킹을 지원했으며 나의 삶에 대해 구체적으로 제시했다 명접관 다 대 일로 진행되고 총 15분의 시간이 주어진다"" 대기중 부정적 도움이 돼요 0",{}
SK텔레콤,['SKT 월간 SMS발생 건수는?'],"추정 가입자수 * 개인당 일 발송 수 추정 (청소년 및 여성 이용자 문자 건수 과소 가정함) 채용방식 필기시험, 인/적성검사, 개인면접",{}
SK텔레콤,['다양한 형식의 팀별과제에서 현재 이시각 일어나고 있는 통화의 건수는?'],"ARPU를 이용하여 추정하여 구하였습니다. 채용방식 인/적성검사, PT면접, 그룹면접, 토론면접, 개인면접",{}
SK텔레콤,"['경력사원으로서 필요한 질문들, 이전 부서,자신의 역할, 참여했던 프로젝트에서 어떤 일을', '맡았고 어떤 개선을 이루었는지 그 근거는 무엇이었는지에 대해 질문이 있었고 이에대한 심층질문이', '이어졌습니다.', '채용방식', '개인면접', '발표시기', '5일 후', '""온라인 이력서 제출후 다음주에 전화연락으로 면접일정을 통보받았고 본사사옥에', '서 실무자와 함께 이전 실무 경험에 대한 질문을 받았습니다.""', '대기중', '보통', '도움이 돼요 0']",,{}
(주)커넥트웨이브,['왜 개발자하려고 하는가?'],,{}
(주)커넥트웨이브,"['기술관련 질문, 개발에 대한 질문을 상세흐ㅏ게 이야기하지는 않았음.']","쉽게 합격가능하는 기획의도와 개발의도를 잘 이해하는 역량이 있다면 문제없음. 채용방식 필기시험, 그룹면접",{}
(주)커넥트웨이브,['프로젝트별로 상세하게 물어봄 솔직하게 진행했던 내용을 설명 하면 됨'],"당시 진행했던 내용 설명함 채용방식 필기시험, 그룹면접, 개인면접",{}
(주)커넥트웨이브,"['자기소개, 자신의 장단점, 기술면접', '기술면접에서 그리 어렵지않게 냈지만 다수 면접이다보니 많이 떨렸습니다']","첫 면접일때 꼭 맘 단단히 먹고 가시는걸 추천... 기술면접때 훅 들어옵니다 채용방식 인/적성검사, 스킬테스트, 그룹면접",{}
(주)커넥트웨이브,"['스트레스어떻게 푸는지, 회사까지 얼마나 걸리는지, 궁금한점있으면 이야기해보세요']","애매함 ""인터뷰 일대다로 하고 그전에 역량검사 봄 인터뷰하기전에 역량검사 하고 오라고 안내함"" 불합격 긍정적 도움이 돼요 0",{}
(주)커넥트웨이브,"['어떤거 배웠는지, 어떤거 공부했었는지, 새롭게 관심있는 분야가 있는지 등등']","답변은 머릿속에 있는거 했고, 면접 못 봤다고 생각했다 채용방식 필기시험, 그룹면접",{}
(주)커넥트웨이브,['솔직히 없음 답변도중에 끊어버리고 더른질문도 드ㅡㄹ어왓던걸로 기억'],"답변은 다 하엿고 뭐 그냥저냥 누구나 붙을거같은 질문만 햇늠 ""팀장과 실무자 들어와서 이력서 기준과 코테 기준으로 진행"" 합격 보통 도움이 돼요 0",{}
(주)커넥트웨이브,['딱히 기억나는 질문은 없고 경력에 대한 내용을 자세히 설명하길 원했음'],"그리 긍정적이지도 부정적이지도 않은 면접이었다. 기억나는 것도 딱히 없는 편. ""재택할 때여서 비대면으로 면접 봄. 1시간 이내로 봤었고 질문 수준은 평이함"" 합격 보통 도움이 돼요 0",{}
(주)커넥트웨이브,['이력서의 자기소개 보고 그에 대한 질문을 했었음'],"원격 면접을 했는데 면접관들 소리가 잘 안들려서 힘들었음 채용방식 인/적성검사, 스킬테스트, 그룹면접",{}
(주)커넥트웨이브,['이력서의 경력관련 질문을 받음. 프로젝트 진행관련이었으며 답변은 경험한것을 토대로 답함'],"별다른 인상을 받지 못했음 채용방식 인/적성검사, 그룹면접",{}
(주)커넥트웨이브,"['기억에 남는 질문이 없어서 적을게 없음.', '대체적으로 기술적인 부분이 아니라 인성 질문이었음']","소신껏 생각한바를 가감없이 답변하였고 별도의 피드백은 없었음 채용방식 필기시험, 개인면접",{}
(주)커넥트웨이브,['경력집으로 전에 했던 업무을 상세 사게 실무자들이 질문 합니다.'],"억업된 분위기가 아니라 큰 어려운점이 없습니다. 채용방식 필기시험, 그룹면접",{}
(주)커넥트웨이브,"['10년후 본인의 모습은 어떨꺼같은지', '자기소개', '지원사유']","시험은 난이도가 보통이였고 질문도 보통난이도 인사면접도 평범했다 채용방식 필기시험, 그룹면접",{}
(주)커넥트웨이브,['왜 이 업무를 하고 싶어하는지와 기본적으로 학부때 배우는 지식들을 물어봄'],"굉장히 떨리고 정신없었지만 최선을 내가 아는 선에서 대답함 채용방식 필기시험, 그룹면접, 기타",{}
(주)커넥트웨이브,"['최근 관심있는 기술이 무엇인가요?', '요즘 기술 트렌드가 어떤게 있나요?', '스트레스 받으면 어떻게 해결 하시나요?']",대체적으로 면접은 어렵지 않았습니다. 코로나 시기로 인하면 화상 면접 진행하는데 소리가 들렸다 안들렸다 그래서 원활하게 면접 안된듯 합 니다. 연봉은 협상이 아니라 통보입니다 테이블에 맞춰진 연봉 동급회사 대비 낮아요 채용방식 개인면접,{}
(주)커넥트웨이브,['책은 어떤거 읽었는지? 그 외엔 생각이 안남'],직무관련된 책 읽어보았습니다,{}
(주)커넥트웨이브,"['여태까지 했던 프로젝트 위주 질문이 많았고, 분위기는 압박보단 편안한 분위기로 면접진행 했습니다.']",어렵지 않았습니다,{}
(주)커넥트웨이브,"['가장 자신있는 분야에 대해서 설명해라.', '가장 자신있는 IT 기술에 대해서 설명해라.']","IT 기술은 잘 몰라서 내가 알고있는 분야에 대해서 자세히 설명해드렸다. ""서류 - 기술면접 - 인성면접 기술면접에 항목이 아예 정해져있어서 놀랐다. 물론 부서마다 다를것으로 판단된다. 인성면접은 형식적인 느낌이었다."" 합격 보통 도움이 돼요 0",{}
(주)커넥트웨이브,"['이전에 했던 프로젝트에 대한 질문', '왜 이직하는지', '앞으로 어떤 일을 하고싶은지']","당시 재직중인 회사 상황과 트렌드를 엮어서 대답함 더 큰 회사 경험 필요 채용방식 인/적성검사, 케이스 면접",{}
(주)커넥트웨이브,"['그전 회사 퇴사사유에 대한 질문이었습니다', '경력자라면 피할수없는 질문..']","회사 경영이 어려워져서 월급이 하루이틀정도 밀리고 있는 상황이었다고 말했습니다 ""압박느낌은 없고 다소 편안한 분위기에서 진행되었습니다 질문하고 답변을 재촉하는 느낌은 없었습니다"" 대기중 보통 도움이 돼요 0",{}
(주)커넥트웨이브,"['입사지원한 이유, 입사후 포부, 하고 싶은 말']",전반적으로 업무에 대한 열정을 보였습니다. 관련 경력이 전무했기 때문에 배우려는 의지가 있는 모습 을 보였습니다.,{}
(주)커넥트웨이브,"['우리 회사가 어떤 회사라고 생각하십니까?', '전 회사를 그만둔 이유는?']","면접 진행 자체가 깔끔했습니다 면접에 인사팀, 임원, 해당팀 팀장, 실무 파트장이 한번에 들어와서 진행했습니다 ""서류통화 유선 연락 오프라인 직군 시험 후 시험 결과를 가지고 면접 진행"" 액 3000억원 이상 (주)솔루엠 포지션 2개 채용 중 2 (주)오픈노트 - 기업 랭킹 채용 뉴스 연봉 이직 뽐뿌 오는 날 5분 완성, 1년 간 기업정보가 무료!    제휴 대학 서비스  면접결과 면접경험 신고하기 채용방식 필기시험, 케이스 면접",{}
(주)커넥트웨이브,"['면접관은 3명이었고 이력서상 경력 위주의 질문이었고', '크게 어려운 점은 없었습니다.', '인사팀 담당자의 희망연봉 관련 질문이 있었습니다']",경력 관련 질문은 명확하게 답 할 수 있는 것들이었고 희망연봉보다 적게 받는다면.. ? 이라는 질문은 답하기 애매하였습니다 채용방식 개인면접,{}
(주)커넥트웨이브,"['가장어려웟던 프로젝트', '가장즐거운 플젝', '협업시 어려운 점']",정상적으로 답변함 경험에 맞춰 대답하였다 그리고 불합격,{}
(주)커넥트웨이브,['대체적으로 기본적인것만 물어봄 딱히 어려운게 없어서 질문이 기억에 안남음'],"진심 기초적인 질문만 물어본다 개발을 제대로 했다면 모를수가 없음 ""면접보러가면 예고없이 시험을 친다. 물론 난이도는 엄청 낮은편.."" 합격 부정적 도움이 돼요 0",{}
(주)커넥트웨이브,"['특별한 질문 없었음,, 궁금한거 있냐 수준']","면접관은 나쁘지 않았음. 그 다음이 문제 채용방식 인/적성검사, 개인면접, 기타",{}
(주)커넥트웨이브,"['자기소개', '비전공인 사람은 왜 지원했는지', '자기어필도 시킴', '맘에드는 사람 있으면 그 사람에게는 잘 안물어봄']","솔직하게 답변했음 ""면접관은 네명 면접자도 네명 자기소개 시키고 한명씩 돌아가며 질문함"" 합격 보통 도움이 돼요 0",{}
(주)커넥트웨이브,['기술면접인데 솔직히 난이도는 쉬운편임. 대략적인 내용만알아도 될 정도?'],"일반적인 관련분야의 기초지식정도로 답변하면됨 큰 어려움 없음 ""임원면접이 따로 없고 그냥 기술 임원 우루루들어 와서 다 같이 보는형태임"" 합격 보통 도움이 돼요 0",{}
(주)커넥트웨이브,['정확히 기억나진 않지만 스킬적인 부분에 대한 질문들이 많았음'],전문 분야에 대한 스킬적인 부분 이라 어느정도 답이 있다고 생각함 채용방식 케이스 면접,{}
(주)커넥트웨이브,['전에 다니던 직장을 왜 그만두게 되었나요?'],"아직 배우고 경험할게 많은 경력인데 전에 회사에서는 그 한계를 견디지 못하고 좀 더 다양한 경험을 쌓 고 싶어서 그만 두게 되었습니다. 그러나 그만 두고 나니 부족했던 부분은 직장에서 찾을것이 아니라 스스로 자기 시간을 할애하여 원하 는 부분을 학습해야 한다는 것을 깨달았습니다 채용방식 필기시험, 개인면접",{}
