question,extracted_terms
"자기소개, 다룰 수 있는 언어, 리눅스 등 사용가능 여부",리눅스
"자기소개, 기억에 남는 프로젝트, OJT기간 동안의 포부, 리눅스, 멘토가 있는지, 개인활동은 어떤 것을 하고 있는지 등",리눅스
"웹서버 운영경험이 있습니까 스크립트 작성을 해본적이 있습니까? 채용방식 개인면접 발표시기 30일 후 ""리눅스에서 뭘다루어봣는지 물어보고 전직장에서 한일물어봄 면접은 푠언한 분위 기"" 대기중 보통 액 3000억원 이상 신성통상(주) 포지션 9개 채용 중 2 코이즈(주) - 기업 랭킹 채용 뉴스 연봉 이직 뽐뿌 오는 날 5분 완성, 1년 간 기업정보가 무료!    제휴 대학 서비스  회사소개 이용약관 개인정보처리방침 커뮤니티가이드라인 모바일 버전 공지사항 광고 및 제휴문의 고객 문의 FAQ | | | | | | | | (주)브레인커머스 서울특별시 강남구 테헤란로 509 엔씨타워 I, 10층 | 대표   황희승, 윤신근 | 개인정보보호관리자   윤신근 사업자등록번호   120-87-92182 | 통신판매업 신고번호   제2014-서울강남-02942호 | 유료 직업소개사업 등록번호   (국내) 제2017-3220163-14-5-00046호 대표번호   1644-5641 (10:00~17:00 / 매월 마지막 금요일 09:00~13:00 / 주말 및 공휴일 휴무) | 대표이메일 : customer_service@jobplanet.co.kr ©Jobplanet. All rights reserved. 46 47 48 49 50 신고하기 도움이 돼요 0",리눅스
putty 비슷한 터미널 프로그램으로 리눅스 접속해서 vim 으로 입문서 연습문제 수준의 간단한 초급 c++문제 몇개 풀어보라고 시킨다음에 면접담당자는 열심히 폰질을 하였슴,리눅스
"리눅스 운영체제의 기본상식, 네트워킹 기본상식 등을 질문함 ""이력서 심사를 합격 한 후 1:1화상면접을 진행하였습니다."" 2 던킨/던킨도너츠 (… 4 기업 랭킹 채용 뉴스 연봉 이직 뽐뿌 오는 날 5분 완성, 1년 간 기업정보가 무료!    제휴 대학 서비스  회사소개 이용약관 개인정보처리방침 커뮤니티가이드라인 모바일 버전 공지사항 광고 및 제휴문의 고객 문의 FAQ | | | | | | | | (주)브레인커머스 61 62 63 64 65 2018/04 면접경로 온라인 지원",리눅스
"퇴사 사유. 했던 프로젝트 상세 내용 규모 본인이 한 역할 리눅스 자주사용하는 명령어, 리눅스 특정 명령어에 대한 질문",리눅스
"아프리카 티비 서버 개선점 ,간단 cs지식 , 리눅스 기초지식, 관심도 확인, 상사와의갈등 등등 꼬리질문 이 많음",리눅스
"리눅스를 설치 해보았는가 설치를 하고 서버구축을 했는데 문제가 발생할 때 어떻게 해결하는가 채용방식 스킬테스트, 토론면접 발표시기 4일 후 ""1차면접으로 미디어 커뮤니티를 주제로 토론면접을 보고 면접관 3명이서 지원동 기와 전공 그리고 토론면접을 한 것에 대해서 질문을 함"" 대기중 보통 도움이 돼요 0",리눅스
"리눅스 관련 질문, 기존 업무, 인성 관련",리눅스
"자기소개, 이직사유, 리눅스 기초, 네트워크 기초 등의 기술 질문, 최근에 읽은 책 3가지 등",리눅스
보안쪽은 네트워크 공격 실습이나 와이어샤크 사용 등 리눅스 실습도 물어본거 같음,리눅스
"스트레스 관리 법, 직무에 대해 이해하고 있는지, 리눅스 기본 명령어",리눅스
"1. XSS와 CSRF 차이점 2. XSS와 CSRF의 대응방안 3. 파일 다운로드 및 업로드 설명 4. 주요 정보 통신 기반 시설 가이드를 본적이 있는지 5. 다뤄본 OS는 무엇이 있는지 6. 아는 리눅스 명령어 설명 7. 데이터베이스는 무엇을 다뤄봤는가? 8. 사용할 수 있는 프로그래밍 언어는 어떤게 있는가? 9. 스크립트 제작이 가능한가? 10. SQL Injection 설명과 Error Based, Blind Based, Time Based 차이점 및 대응방안 11. 사용해본 도구는 무엇이 있는가? 12. 윈도우 OS 별 차이점 13. 프로젝트 경험",리눅스
리눅스 명령어 몇가지 말해보라고 하셨으며 디비 포트에대해 물어보셨음,리눅스
리눅스 명령어 자기소개 nslookup,리눅스
"리눅스 명령어 차이점, 소통이란 무엇인가, 스노트 룰",리눅스
"ARP가 무엇인지, 리눅스 명령어 알고있는데로 답변 , 자기소개서에 대한 질문",리눅스
"자신의 직무를 확실히 알고가는게 중요, 보안애 대한 프로그램, 자사 제품, 얼마나 근무할지, 리눅스에 대하여, 포부에 대한 질문 채용방식 그룹면접 발표시기 10일 후 ""메일로 면접 장소와 시간을 알려줌, 면접관 3 지원자 4 면접이었음 편한 분위기로 면접을 진행"" 불합격 보통 도움이 돼요 0",리눅스
- 자기소개 (영어 자기소개도 시킴) - 졸업작품 관련 질문 - 자기소개서의 리더쉽 관련 부분 질문 - db에서 테이블 확인하는 명령어 - mysql 포트번호 - 리눅스 명령어 cd 풀네임 - join 설명,리눅스
"타지역 거주자인데 대전에 거주할수 있겠는지 이동이 잦은 직업이라 차가 있어야하는데 면허와 자차가 있는지 같은 팀내에 팀원들이 갈등이 생긴다면 어떻게 갈등을 해결할것인지 회사의 솔루션 아는대로 답해보세요 리눅스 명령어 몇개, 압축 명령어는 무엇이며 압축명령어중에 차이점 리눅스 운영체제로 해본것이 무엇이 있는지 이 직장에서 10년후 나의 모습 인생 목표 살면서 가장 설레였던 경험 채용방식 그룹면접 발표시기 1일 후 ""서류지원후 한달후쯤 전화와 문자로 면접공지 연락후 일주일후 면접"" 불합격 긍정적 도움이 돼요 0",리눅스
"리눅스 명령어, 20년 후 목표, 자기소개, 회사 지원 이유 등 ""실무면접은 it기본 지식을 물어봅니다. 인성면접에 가까운것 같습니다."" 합격 보통 도움이 돼요 0",리눅스
"사람들이 자신을 부정적인면으로 어떻게 얘기할꺼같냐, nio관련 질문, 리눅스 명령어 질문, 답변의 꼬리를 무는 질문등 채용방식 개인면접 발표시기 3일 후 ""1차기술면접은 이력서 기준으로 질문을 받았고, 2차면접은 한층 심화된 기술면접+인성 질문들이 왔습니다"" 대기중 보통 도움이 돼요 0",리눅스
"몇 가지 질문을 다음 분을 위해 공유합니다. 화이트 보드 코딩 질문 1. 문자열 리버스 함수 구현 2. 앞에 작성된 문자열을 TDD로 구현해보세요. 3. 싱글턴을 구현 해보세요. 서버 관련 질문 1. 리눅스 사용 해봤냐? 2. 서버가 1억대가 있고 서버에 데이터가 request가 저장되는 건이 1억건일 경우 어떻게 수집하고 구 성할 것인가? 3. Apache 와 Tomcat 의 연동 이유는 ? Was 로만도 웹 서비스가 사용이 가능할텐데 굳이 apache로 사용하는 이유는? 3-1. Apache 와 Tomcat 의 연동 방법은? 4. 서비스 운영 시 장애 경험은? 어떻게 해결했는가. 5. 서버스 운영 시 장애확인 이 불가능하다 (ex. 모니터링, 로그 부재 등) 이 같은 경우에는 어떻게 처리 할 것인가? 6. 서버가 이유없이 행이 걸렸다. 어떻게 처리할 것인가? 개인 생활 관련 질문 1. 회사에서 주어진 업무가 재미가 없고 다른 업무가 재미가 있다면 어떻게 하겠는가? 2. 기술 공부는 어떻게 하나? 이 밖에 다수..",리눅스
1. 리눅스와 윈도우 개발환경 차이점이 무엇인지? 2. 비주류 S/W 개발 업무에 대한 본인의 생각? 3. 상사와의 의견 충돌이 있을 경우 본인의 대처 방안,리눅스
쓰레드 교착상태를 보완할수 있는법 / 리눅스 명령어 / 오라클 설정,리눅스
1. 자기소개 2. 개발경험 3. 프로젝트경험 4. 자바 기본 지식 5. 디비 기본지식 6. 리눅스 기본지식,리눅스
"자기 소개, 리눅스 윈도우 개념 질문이 가장 기억에 남습니다.",리눅스
"기술필기시험 - OSI 7계층 - 프로그램, 프로세서, 스레드 에대한 비교 설명 - synchronized(동기화) 에대한 설명 - 주사용했던 프로그래밍 언어에 대한 설명 - 간단한 리눅스 명령어 설명 gcc, tail, ls 등",리눅스
"필기시험에 spring용어(IDE란?, 메모리구조(스텍, 리스트링크, 큐구조 설명)) 리눅스용어(ls, tail, ps 등 기본적인 용어) 네트워크용어(osi7계층 등) 약 30문제에 대한 시험 리눅스나 유닉스에 대한 질문과 앞으로 할일에 대한 설명이 주를 이룸 2차면접에는 성격 장단점, 야근에 대한 인식 등에 대한 질문, 거의 일반화되있는 인적성검사 느낌이 강 함",리눅스
"리눅스에대해 상세히 물어보심 파일시스템이나 웹서버 등등 발표시기 18일 후 ""1차면접은 2명의 면접관과 같이 진행됩니다 기술면접이 주"" 불합격 보통 도움이 돼요 0",리눅스
"파일시스템에 대해설명하시오 웹서버 다뤄본것설명 자기소개 채용방식 개인면접 발표시기 7일 후 ""1차는 기술면접이였고 리눅스 사용법 시스템구성 등등 기본적인사항을 물어봄 질문은 한가지에 대해 묻지않고 여러가지를 물어봄"" 불합격 보통 도움이 돼요 0",리눅스
자소서 기반의 경험 리눅스사용유무 포트폴리오 내용 질문,리눅스
"보안의 다양한 분야 중에서, 내가 여기서는 최고가 되고 싶다! 는 분야가 있는지? 리눅스를 사용해서 프로젝트를 진행했거나, os를 사용해 무엇인가를 한 적이 있다면 자유롭게 말해봐 라. + 자기소개서에 관련된 내용 질문",리눅스
"리눅스개발이어서 리눅스 명령어관련 질문 몇개, 운영체제 관련질문, 코테본거 열어서 추가질문 받음",리눅스
"2분자기소개 - 프로젝트 경험 - 인턴 경험 - 리눅스 개발 경험 - 기본 CS질문 안랩 상품 얼마나 알고 있는지 , 본인이 어떻게 발전에 기여할 것인지 본인의 장점은 무엇인지 , 어필할 수 있는 기회를 많이 주심",리눅스
for문 안 i와 for 밖 i 가 어떻ㄱ 다른지 리눅스 ㄱ열이라 명령어 여러개 물어보셨습니다.,리눅스
-1분 자기소개 -블루스크린이 무엇인지 -리눅스 기초 지식들,리눅스
-TCP/UDP 차이 - 커널이 뭐고 어떻게 동작하냐 - 리눅스 명령어 질문,리눅스
"IP 클래스에 대해 자세히 설명하시오. 다이나믹 라우팅이 무엇인가요? 리눅스의 좀비 프로세스가 무엇인가요? 보안 공격 기법 중 ""&&""가 무엇인가요?",리눅스
"포트폴리오에서 설명한 프로젝트에 대해 설명해주세요. 가상메모리가 무엇인지 설명해보세요. 프로세스와 스레드의 차이점과 특징을 설명해보세요. 프로세스간 통신에 대해서 설명하고 작동원리를 설명해보세요. 3-hand-shaking에 대해 설명해보세요. 네트워크 플래그에 대해 설명해보세요. select에 대해서 설명하고 어떻게 동작한다고 생각하세요? 기억나는 오픈소스는 무엇이었나요? 리눅스에서 부팅과정에 대해서 아는데로 최대한 상세히 설명해보세요. 마지막으로, 좋은 소프트웨어는 무엇이라고 생각하세요?",리눅스
4명 입장 후 1분 자기소개 한명씩 번갈아가며 자소서에 있는 내용을 토대로 질문함 보안 분야였기 때문에 UTM IPS등에 대한 개념질문을 하였음 리눅스 명령어 5개를 주고 아는 대로답하기,리눅스
1차에 주로 리눅스와 시스템관련 질문,리눅스
"OS 7계층, 자기소개서에 작성했던 안랩 제품에 대한 설명, 리눅스 명령어 질문",리눅스
리눅스 기반에 지원했는데 깊은 질문을 던짐,리눅스
"기본 유닉스 프로그래밍, 리눅스 개발 등의 질문.",리눅스
"ddos가 무엇인긴요? ping이 무엇인가요? ""인턴 면접이었고 총 네분의 면접장들에게 보았습니다. 총괄 한분, 개발 담당, 네트 워크 담당, 리눅스 담당하시는 분들이었고 주로 자신의 프로젝트에 관련된 질문을 물어봅니다."" 주)안랩 사의 빠른 소식을 받아보세요! 2 엘티삼보(주) 1 기업 랭킹 채용 뉴스 연봉 이직 뽐뿌 오는 날 5분 완성, 1년 간 기업정보가 무료!    제휴 대학 서비스  회사소개 이용약관 개인정보처리방침 커뮤니티가이드라인 모바일 버전 공지사항 광고 및 제휴문의 고객 문의 FAQ | | | | | | | | (주)브레인커머스 서울특별시 강남구 테헤란로 509 엔씨타워 I, 10층 | 대표   황희승, 윤신근 | 개인정보보호관리자   윤신근 사업자등록번호   120-87-92182 | 통신판매업 신고번호   제2014-서울강남-02942호 | 유료 직업소개사업 등록번호   (국내) 제2017-3220163-14-5-00046호 대표번호   1644-5641 (10:00~17:00 / 매월 마지막 금요일 09:00~13:00 / 주말 및 공휴일 휴무) | 대표이메일 : customer_service@jobplanet.co.kr ©Jobplanet. All rights reserved. 141 142 143 144 145",리눅스
